書名,作者,語言,折扣,價格,連結
問ChatGPT也不會的Python量化交易聖經：從分析到真實交易一本全會,張峮瑋  黃子靜,中文書,79,695,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011016236/page/1/idx/1/cat/001/pdf/1/spell/3
AI視覺：最強入門邁向頂尖高手 王者歸來,洪錦魁,中文書,79,1011,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011013795/page/1/idx/2/cat/001/pdf/1/spell/3
史上最強Python入門邁向頂尖高手之路王者歸來 第3版(燙金彩色印刷紀念版),洪錦魁,中文書,79,948,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010976050/page/1/idx/3/cat/001/pdf/1/spell/3
AI之眼：幻影操控、變臉、唇語、美妝、手勢、肢體、表情偵測、人臉辨識 Python創意實戰,洪錦魁,中文書,79,624,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011016321/page/1/idx/4/cat/001/pdf/1/spell/3
Python自學聖經(第三版)：從程式素人到開發強者的技術、實戰與AI應用大全(附影音/範例程式),文淵閣工作室  鄧君如,中文書,79,695,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011003137/page/1/idx/5/cat/001/pdf/1/spell/3
FastAPI|現代Python網站開發,Bill Lubanovic  張正豪,中文書,79,537,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011017847/page/1/idx/6/cat/001/pdf/1/spell/3
Python x AI辦公室作業自動化：Word、Excel、PowerPoint、PDF、CSV、Pandas-多執行緒、排程、藝術二維碼、短網址、電子郵件、爬蟲,洪錦魁,中文書,79,695,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011001837/page/1/idx/7/cat/001/pdf/1/spell/3
Python金融市場賺大錢聖經：寫出你的專屬指標(四版),張峮瑋,中文書,79,624,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011018502/page/1/idx/8/cat/001/pdf/1/spell/3
AI助攻 Python超級入門 創意設計 x AI程式實作,洪錦魁,中文書,79,458,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010988835/page/1/idx/9/cat/001/pdf/1/spell/3
世界第一簡單的 Python「超」入門 - 零基礎 OK!ChatGPT 隨時當助教!,鎌田正浩  夏萱,中文書,79,394,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010962405/page/1/idx/10/cat/001/pdf/1/spell/3
Python原力爆擊：OpenAI / Gemini / AWS / Ollama生成式AI應用新手指南,Ryan Chung  柯克(Ko Ko)  陳佳新  陳葵懋(Ian Chen),中文書,79,513,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011020490/page/1/idx/11/cat/001/pdf/1/spell/3
一步到位!Python 程式設計 – 最強入門教科書 第四版,陳惠貞,中文書,79,497,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010990513/page/1/idx/12/cat/001/pdf/1/spell/3
世界第一簡單的演算法：圖解 ✕ 程式 ✕ 刷題機器人,Aditya Y Bhargava  郭柏堅  陳婉婷,中文書,79,473,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011002331/page/1/idx/13/cat/001/pdf/1/spell/3
到地府走一趟才發現連閻羅王都會 Python!,施威銘研究室,中文書,79,394,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011011149/page/1/idx/14/cat/001/pdf/1/spell/3
演算法 圖解原理 x Python實作 x 創意應用 王者歸來(四版),洪錦魁,中文書,79,616,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010996610/page/1/idx/15/cat/001/pdf/1/spell/3
APCS 完全攻略：從新手到高手，Python 解題必備!【好評回饋版】,吳燦銘  胡昭民,中文書,66,429,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011009369/page/1/idx/16/cat/001/pdf/1/spell/3
AI 神助攻!程式設計新境界：GitHub Copilot 開發 Python 如虎添翼 : 提示工程、問題分解、測試案例、除錯,Daniel Zingaro  Leo Porter  施威銘研究室,中文書,95,532,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010986300/page/1/idx/17/cat/001/pdf/1/spell/3
